Bus_ID,Date,Year,Month,Depot_Name,Bus_Type,Owner_Type,Bus_Age_Months,KMs_Run_Monthly,Total_Breakdowns
BUS-1000,2022-01-01,2022,1,Hinjewadi,CNG,Private,96,6809,0
BUS-1000,2022-02-01,2022,2,Hinjewadi,CNG,Private,97,6992,0
BUS-1000,2022-03-01,2022,3,Hinjewadi,CNG,Private,98,6607,0
BUS-1000,2022-04-01,2022,4,Hinjewadi,CNG,Private,99,5036,0
BUS-1000,2022-05-01,2022,5,Hinjewadi,CNG,Private,100,6715,0
BUS-1000,2022-06-01,2022,6,Hinjewadi,CNG,Private,101,4933,0
BUS-1000,2022-07-01,2022,7,Hinjewadi,CNG,Private,102,7999,1
BUS-1000,2022-08-01,2022,8,Hinjewadi,CNG,Private,103,7227,0
BUS-1000,2022-09-01,2022,9,Hinjewadi,CNG,Private,104,3541,0
BUS-1000,2022-10-01,2022,10,Hinjewadi,CNG,Private,105,3088,0
BUS-1000,2022-11-01,2022,11,Hinjewadi,CNG,Private,106,3367,0
BUS-1000,2022-12-01,2022,12,Hinjewadi,CNG,Private,107,6622,0
BUS-1000,2023-01-01,2023,1,Hinjewadi,CNG,Private,108,5967,0
BUS-1000,2023-02-01,2023,2,Hinjewadi,CNG,Private,109,6423,0
BUS-1000,2023-03-01,2023,3,Hinjewadi,CNG,Private,110,3032,0
BUS-1000,2023-04-01,2023,4,Hinjewadi,CNG,Private,111,3280,0
BUS-1000,2023-05-01,2023,5,Hinjewadi,CNG,Private,112,3444,0
BUS-1000,2023-06-01,2023,6,Hinjewadi,CNG,Private,113,3512,0
BUS-1000,2023-07-01,2023,7,Hinjewadi,CNG,Private,114,3409,0
BUS-1000,2023-08-01,2023,8,Hinjewadi,CNG,Private,115,7785,0
BUS-1000,2023-09-01,2023,9,Hinjewadi,CNG,Private,116,5714,0
BUS-1000,2023-10-01,2023,10,Hinjewadi,CNG,Private,117,4080,2
BUS-1000,2023-11-01,2023,11,Hinjewadi,CNG,Private,118,6145,0
BUS-1000,2023-12-01,2023,12,Hinjewadi,CNG,Private,119,6519,0
BUS-1000,2024-01-01,2024,1,Hinjewadi,CNG,Private,120,4463,0
BUS-1000,2024-02-01,2024,2,Hinjewadi,CNG,Private,121,7375,0
BUS-1000,2024-03-01,2024,3,Hinjewadi,CNG,Private,122,4931,0
BUS-1000,2024-04-01,2024,4,Hinjewadi,CNG,Private,123,6189,0
BUS-1000,2024-05-01,2024,5,Hinjewadi,CNG,Private,124,6635,0
BUS-1000,2024-06-01,2024,6,Hinjewadi,CNG,Private,125,5315,0
BUS-1000,2024-07-01,2024,7,Hinjewadi,CNG,Private,126,5318,0
BUS-1000,2024-08-01,2024,8,Hinjewadi,CNG,Private,127,7393,0
BUS-1000,2024-09-01,2024,9,Hinjewadi,CNG,Private,128,5500,0
BUS-1000,2024-10-01,2024,10,Hinjewadi,CNG,Private,129,7128,1
BUS-1000,2024-11-01,2024,11,Hinjewadi,CNG,Private,130,3432,1
BUS-1000,2024-12-01,2024,12,Hinjewadi,CNG,Private,131,5236,3
BUS-1001,2022-01-01,2022,1,Swargate,CNG,PMPML,83,4909,0
BUS-1001,2022-02-01,2022,2,Swargate,CNG,PMPML,84,6508,0
BUS-1001,2022-03-01,2022,3,Swargate,CNG,PMPML,85,6511,0
BUS-1001,2022-04-01,2022,4,Swargate,CNG,PMPML,86,7944,1
BUS-1001,2022-05-01,2022,5,Swargate,CNG,PMPML,87,3918,0
BUS-1001,2022-06-01,2022,6,Swargate,CNG,PMPML,88,6752,0
BUS-1001,2022-07-01,2022,7,Swargate,CNG,PMPML,89,7358,0
BUS-1001,2022-08-01,2022,8,Swargate,CNG,PMPML,90,3009,0
BUS-1001,2022-09-01,2022,9,Swargate,CNG,PMPML,91,7899,0
BUS-1001,2022-10-01,2022,10,Swargate,CNG,PMPML,92,3817,0
BUS-1001,2022-11-01,2022,11,Swargate,CNG,PMPML,93,6185,0
BUS-1001,2022-12-01,2022,12,Swargate,CNG,PMPML,94,7229,0
BUS-1001,2023-01-01,2023,1,Swargate,CNG,PMPML,95,4780,2
BUS-1001,2023-02-01,2023,2,Swargate,CNG,PMPML,96,5554,0
BUS-1001,2023-03-01,2023,3,Swargate,CNG,PMPML,97,7891,1
BUS-1001,2023-04-01,2023,4,Swargate,CNG,PMPML,98,4379,0
BUS-1001,2023-05-01,2023,5,Swargate,CNG,PMPML,99,4723,0
BUS-1001,2023-06-01,2023,6,Swargate,CNG,PMPML,100,3789,0
BUS-1001,2023-07-01,2023,7,Swargate,CNG,PMPML,101,3772,0
BUS-1001,2023-08-01,2023,8,Swargate,CNG,PMPML,102,6041,0
BUS-1001,2023-09-01,2023,9,Swargate,CNG,PMPML,103,3043,0
BUS-1001,2023-10-01,2023,10,Swargate,CNG,PMPML,104,5418,0
BUS-1001,2023-11-01,2023,11,Swargate,CNG,PMPML,105,4772,0
BUS-1001,2023-12-01,2023,12,Swargate,CNG,PMPML,106,4208,0
BUS-1001,2024-01-01,2024,1,Swargate,CNG,PMPML,107,3004,0
BUS-1001,2024-02-01,2024,2,Swargate,CNG,PMPML,108,3525,0
BUS-1001,2024-03-01,2024,3,Swargate,CNG,PMPML,109,4630,0
BUS-1001,2024-04-01,2024,4,Swargate,CNG,PMPML,110,4026,3
BUS-1001,2024-05-01,2024,5,Swargate,CNG,PMPML,111,7536,2
BUS-1001,2024-06-01,2024,6,Swargate,CNG,PMPML,112,7680,3
BUS-1001,2024-07-01,2024,7,Swargate,CNG,PMPML,113,7594,1
BUS-1001,2024-08-01,2024,8,Swargate,CNG,PMPML,114,3908,0
BUS-1001,2024-09-01,2024,9,Swargate,CNG,PMPML,115,4739,0
BUS-1001,2024-10-01,2024,10,Swargate,CNG,PMPML,116,5479,0
BUS-1001,2024-11-01,2024,11,Swargate,CNG,PMPML,117,5105,0
BUS-1001,2024-12-01,2024,12,Swargate,CNG,PMPML,118,3268,0
BUS-1002,2022-01-01,2022,1,Pimpri,Diesel,PMPML,7,7624,0
BUS-1002,2022-02-01,2022,2,Pimpri,Diesel,PMPML,8,3490,0
BUS-1002,2022-03-01,2022,3,Pimpri,Diesel,PMPML,9,7166,0
BUS-1002,2022-04-01,2022,4,Pimpri,Diesel,PMPML,10,3123,0
BUS-1002,2022-05-01,2022,5,Pimpri,Diesel,PMPML,11,7280,0
BUS-1002,2022-06-01,2022,6,Pimpri,Diesel,PMPML,12,5330,0
BUS-1002,2022-07-01,2022,7,Pimpri,Diesel,PMPML,13,7711,0
BUS-1002,2022-08-01,2022,8,Pimpri,Diesel,PMPML,14,5691,0
BUS-1002,2022-09-01,2022,9,Pimpri,Diesel,PMPML,15,6865,0
BUS-1002,2022-10-01,2022,10,Pimpri,Diesel,PMPML,16,7060,0
BUS-1002,2022-11-01,2022,11,Pimpri,Diesel,PMPML,17,3221,0
BUS-1002,2022-12-01,2022,12,Pimpri,Diesel,PMPML,18,6496,0
BUS-1002,2023-01-01,2023,1,Pimpri,Diesel,PMPML,19,6950,0
BUS-1002,2023-02-01,2023,2,Pimpri,Diesel,PMPML,20,4747,0
BUS-1002,2023-03-01,2023,3,Pimpri,Diesel,PMPML,21,4827,0
BUS-1002,2023-04-01,2023,4,Pimpri,Diesel,PMPML,22,3662,0
BUS-1002,2023-05-01,2023,5,Pimpri,Diesel,PMPML,23,6306,0
BUS-1002,2023-06-01,2023,6,Pimpri,Diesel,PMPML,24,6933,0
BUS-1002,2023-07-01,2023,7,Pimpri,Diesel,PMPML,25,7461,0
BUS-1002,2023-08-01,2023,8,Pimpri,Diesel,PMPML,26,7833,0
BUS-1002,2023-09-01,2023,9,Pimpri,Diesel,PMPML,27,5584,0
BUS-1002,2023-10-01,2023,10,Pimpri,Diesel,PMPML,28,7889,0
BUS-1002,2023-11-01,2023,11,Pimpri,Diesel,PMPML,29,6405,0
BUS-1002,2023-12-01,2023,12,Pimpri,Diesel,PMPML,30,7725,0
BUS-1002,2024-01-01,2024,1,Pimpri,Diesel,PMPML,31,3721,0
BUS-1002,2024-02-01,2024,2,Pimpri,Diesel,PMPML,32,4158,0
BUS-1002,2024-03-01,2024,3,Pimpri,Diesel,PMPML,33,6382,0
BUS-1002,2024-04-01,2024,4,Pimpri,Diesel,PMPML,34,7501,0
BUS-1002,2024-05-01,2024,5,Pimpri,Diesel,PMPML,35,4672,2
BUS-1002,2024-06-01,2024,6,Pimpri,Diesel,PMPML,36,6710,0
BUS-1002,2024-07-01,2024,7,Pimpri,Diesel,PMPML,37,7303,0
BUS-1002,2024-08-01,2024,8,Pimpri,Diesel,PMPML,38,5938,0
BUS-1002,2024-09-01,2024,9,Pimpri,Diesel,PMPML,39,3118,0
BUS-1002,2024-10-01,2024,10,Pimpri,Diesel,PMPML,40,6847,0
BUS-1002,2024-11-01,2024,11,Pimpri,Diesel,PMPML,41,4209,0
BUS-1002,2024-12-01,2024,12,Pimpri,Diesel,PMPML,42,7037,0
BUS-1003,2022-01-01,2022,1,Kothrud,Diesel,Private,43,6023,0
BUS-1003,2022-02-01,2022,2,Kothrud,Diesel,Private,44,3347,0
BUS-1003,2022-03-01,2022,3,Kothrud,Diesel,Private,45,6615,0
BUS-1003,2022-04-01,2022,4,Kothrud,Diesel,Private,46,4441,0
BUS-1003,2022-05-01,2022,5,Kothrud,Diesel,Private,47,3803,0
BUS-1003,2022-06-01,2022,6,Kothrud,Diesel,Private,48,4779,0
BUS-1003,2022-07-01,2022,7,Kothrud,Diesel,Private,49,4721,0
BUS-1003,2022-08-01,2022,8,Kothrud,Diesel,Private,50,5530,0
BUS-1003,2022-09-01,2022,9,Kothrud,Diesel,Private,51,5893,1
BUS-1003,2022-10-01,2022,10,Kothrud,Diesel,Private,52,3670,0
BUS-1003,2022-11-01,2022,11,Kothrud,Diesel,Private,53,7593,0
BUS-1003,2022-12-01,2022,12,Kothrud,Diesel,Private,54,3137,0
BUS-1003,2023-01-01,2023,1,Kothrud,Diesel,Private,55,5610,0
BUS-1003,2023-02-01,2023,2,Kothrud,Diesel,Private,56,6214,0
BUS-1003,2023-03-01,2023,3,Kothrud,Diesel,Private,57,3805,0
BUS-1003,2023-04-01,2023,4,Kothrud,Diesel,Private,58,7037,2
BUS-1003,2023-05-01,2023,5,Kothrud,Diesel,Private,59,4264,0
BUS-1003,2023-06-01,2023,6,Kothrud,Diesel,Private,60,6533,0
BUS-1003,2023-07-01,2023,7,Kothrud,Diesel,Private,61,3200,0
BUS-1003,2023-08-01,2023,8,Kothrud,Diesel,Private,62,7554,0
BUS-1003,2023-09-01,2023,9,Kothrud,Diesel,Private,63,7862,0
BUS-1003,2023-10-01,2023,10,Kothrud,Diesel,Private,64,3873,0
BUS-1003,2023-11-01,2023,11,Kothrud,Diesel,Private,65,7642,3
BUS-1003,2023-12-01,2023,12,Kothrud,Diesel,Private,66,7496,0
BUS-1003,2024-01-01,2024,1,Kothrud,Diesel,Private,67,4270,0
BUS-1003,2024-02-01,2024,2,Kothrud,Diesel,Private,68,5502,0
BUS-1003,2024-03-01,2024,3,Kothrud,Diesel,Private,69,7042,3
BUS-1003,2024-04-01,2024,4,Kothrud,Diesel,Private,70,3356,1
BUS-1003,2024-05-01,2024,5,Kothrud,Diesel,Private,71,3431,1
BUS-1003,2024-06-01,2024,6,Kothrud,Diesel,Private,72,7610,1
BUS-1003,2024-07-01,2024,7,Kothrud,Diesel,Private,73,4879,2
BUS-1003,2024-08-01,2024,8,Kothrud,Diesel,Private,74,4300,3
BUS-1003,2024-09-01,2024,9,Kothrud,Diesel,Private,75,7084,0
BUS-1003,2024-10-01,2024,10,Kothrud,Diesel,Private,76,5939,0
BUS-1003,2024-11-01,2024,11,Kothrud,Diesel,Private,77,6277,1
BUS-1003,2024-12-01,2024,12,Kothrud,Diesel,Private,78,4200,0
BUS-1004,2022-01-01,2022,1,Bhosari,CNG,Private,59,5878,0
BUS-1004,2022-02-01,2022,2,Bhosari,CNG,Private,60,6325,2
BUS-1004,2022-03-01,2022,3,Bhosari,CNG,Private,61,4403,0
BUS-1004,2022-04-01,2022,4,Bhosari,CNG,Private,62,6257,0
BUS-1004,2022-05-01,2022,5,Bhosari,CNG,Private,63,6495,0
BUS-1004,2022-06-01,2022,6,Bhosari,CNG,Private,64,6480,0
BUS-1004,2022-07-01,2022,7,Bhosari,CNG,Private,65,6386,0
BUS-1004,2022-08-01,2022,8,Bhosari,CNG,Private,66,6946,0
BUS-1004,2022-09-01,2022,9,Bhosari,CNG,Private,67,4500,2
BUS-1004,2022-10-01,2022,10,Bhosari,CNG,Private,68,5135,0
BUS-1004,2022-11-01,2022,11,Bhosari,CNG,Private,69,6739,0
BUS-1004,2022-12-01,2022,12,Bhosari,CNG,Private,70,3499,0
BUS-1004,2023-01-01,2023,1,Bhosari,CNG,Private,71,4367,0
BUS-1004,2023-02-01,2023,2,Bhosari,CNG,Private,72,5413,3
BUS-1004,2023-03-01,2023,3,Bhosari,CNG,Private,73,5489,0
BUS-1004,2023-04-01,2023,4,Bhosari,CNG,Private,74,6676,0
BUS-1004,2023-05-01,2023,5,Bhosari,CNG,Private,75,5005,0
BUS-1004,2023-06-01,2023,6,Bhosari,CNG,Private,76,5441,0
BUS-1004,2023-07-01,2023,7,Bhosari,CNG,Private,77,6741,0
BUS-1004,2023-08-01,2023,8,Bhosari,CNG,Private,78,6630,3
BUS-1004,2023-09-01,2023,9,Bhosari,CNG,Private,79,7327,0
BUS-1004,2023-10-01,2023,10,Bhosari,CNG,Private,80,7691,0
BUS-1004,2023-11-01,2023,11,Bhosari,CNG,Private,81,4713,0
BUS-1004,2023-12-01,2023,12,Bhosari,CNG,Private,82,3671,0
BUS-1004,2024-01-01,2024,1,Bhosari,CNG,Private,83,7385,0
BUS-1004,2024-02-01,2024,2,Bhosari,CNG,Private,84,5015,0
BUS-1004,2024-03-01,2024,3,Bhosari,CNG,Private,85,4087,0
BUS-1004,2024-04-01,2024,4,Bhosari,CNG,Private,86,7527,0
BUS-1004,2024-05-01,2024,5,Bhosari,CNG,Private,87,7272,2
BUS-1004,2024-06-01,2024,6,Bhosari,CNG,Private,88,7696,2
BUS-1004,2024-07-01,2024,7,Bhosari,CNG,Private,89,3965,3
BUS-1004,2024-08-01,2024,8,Bhosari,CNG,Private,90,7348,0
BUS-1004,2024-09-01,2024,9,Bhosari,CNG,Private,91,7203,0
BUS-1004,2024-10-01,2024,10,Bhosari,CNG,Private,92,6431,0
BUS-1004,2024-11-01,2024,11,Bhosari,CNG,Private,93,4833,1
BUS-1004,2024-12-01,2024,12,Bhosari,CNG,Private,94,6630,3
BUS-1005,2022-01-01,2022,1,Kothrud,CNG,Private,32,5705,0
BUS-1005,2022-02-01,2022,2,Kothrud,CNG,Private,33,3959,0
BUS-1005,2022-03-01,2022,3,Kothrud,CNG,Private,34,5722,0
BUS-1005,2022-04-01,2022,4,Kothrud,CNG,Private,35,7148,0
BUS-1005,2022-05-01,2022,5,Kothrud,CNG,Private,36,7563,0
BUS-1005,2022-06-01,2022,6,Kothrud,CNG,Private,37,3033,0
BUS-1005,2022-07-01,2022,7,Kothrud,CNG,Private,38,7320,1
BUS-1005,2022-08-01,2022,8,Kothrud,CNG,Private,39,7116,0
BUS-1005,2022-09-01,2022,9,Kothrud,CNG,Private,40,5962,0
BUS-1005,2022-10-01,2022,10,Kothrud,CNG,Private,41,5821,0
BUS-1005,2022-11-01,2022,11,Kothrud,CNG,Private,42,4681,0
BUS-1005,2022-12-01,2022,12,Kothrud,CNG,Private,43,6871,0
BUS-1005,2023-01-01,2023,1,Kothrud,CNG,Private,44,5568,3
BUS-1005,2023-02-01,2023,2,Kothrud,CNG,Private,45,5643,0
BUS-1005,2023-03-01,2023,3,Kothrud,CNG,Private,46,3044,0
BUS-1005,2023-04-01,2023,4,Kothrud,CNG,Private,47,5301,0
BUS-1005,2023-05-01,2023,5,Kothrud,CNG,Private,48,4880,0
BUS-1005,2023-06-01,2023,6,Kothrud,CNG,Private,49,6068,0
BUS-1005,2023-07-01,2023,7,Kothrud,CNG,Private,50,7050,0
BUS-1005,2023-08-01,2023,8,Kothrud,CNG,Private,51,6080,1
BUS-1005,2023-09-01,2023,9,Kothrud,CNG,Private,52,6302,2
BUS-1005,2023-10-01,2023,10,Kothrud,CNG,Private,53,5103,0
BUS-1005,2023-11-01,2023,11,Kothrud,CNG,Private,54,6891,0
BUS-1005,2023-12-01,2023,12,Kothrud,CNG,Private,55,3040,0
BUS-1005,2024-01-01,2024,1,Kothrud,CNG,Private,56,6588,0
BUS-1005,2024-02-01,2024,2,Kothrud,CNG,Private,57,5138,0
BUS-1005,2024-03-01,2024,3,Kothrud,CNG,Private,58,6186,0
BUS-1005,2024-04-01,2024,4,Kothrud,CNG,Private,59,5215,0
BUS-1005,2024-05-01,2024,5,Kothrud,CNG,Private,60,6803,0
BUS-1005,2024-06-01,2024,6,Kothrud,CNG,Private,61,4215,0
BUS-1005,2024-07-01,2024,7,Kothrud,CNG,Private,62,7506,0
BUS-1005,2024-08-01,2024,8,Kothrud,CNG,Private,63,7533,2
BUS-1005,2024-09-01,2024,9,Kothrud,CNG,Private,64,3661,0
BUS-1005,2024-10-01,2024,10,Kothrud,CNG,Private,65,3619,0
BUS-1005,2024-11-01,2024,11,Kothrud,CNG,Private,66,4684,0
BUS-1005,2024-12-01,2024,12,Kothrud,CNG,Private,67,5215,0
BUS-1006,2022-01-01,2022,1,Nigdi,CNG,PMPML,109,4879,0
BUS-1006,2022-02-01,2022,2,Nigdi,CNG,PMPML,110,5135,0
BUS-1006,2022-03-01,2022,3,Nigdi,CNG,PMPML,111,5479,0
